Month,Route Number,Total Miles,Total Weight,House Count,Weight per House
March,RMBS33,34,59820,848,70.54
March,RMBS34,39,51460,1003,51.31
March,RMBS35,43,52640,1563,33.68
March,RMBS40,24,50560,754,67.06
March,RMBS41,128,67700,1148,58.97
March,RMBS42,16,34460,797,43.24
March,RMBS43,45,63800,1096,58.21
March,RMBU10,68,77240,1239,62.34
March,RMBU11,74,82840,1146,72.29
March,RMBU12,73,68800,1213,56.72
March,RMBU13,64,63560,1384,45.92
March,RMBU14,74,65120,833,78.18
March,RMBU15,76,78040,715,109.15
March,RMBU16,48,61320,679,90.31
March,RMBU20,95,93200,1445,64.50
March,RMBU21,70,76760,1637,46.89
March,RMBU22,88,81840,1469,55.71
March,RMBU23,60,70320,860,81.77
March,RMBU24,76,82120,1096,74.93
March,RMBU25,82,68960,1020,67.61
March,RMBU26,67,70560,1215,58.07
March,RTBS33,21,28540,751,38.00
March,RTBS34,30,48620,1063,45.74
March,RTBS35,33,24840,956,25.98
March,RTBS40,62,44460,995,44.68
March,RTBS41,27,36200,758,47.76
March,RTBS43,34,34480,760,45.37
March,RTBU10,33,37940,645,58.82
March,RTBU11,65,47600,751,63.38
March,RTBU13,46,40680,834,48.78
March,RTBU15,44,40340,1008,40.02
March,RTBU16,42,32220,581,55.46
March,RTBU20,39,53760,913,58.88
March,RTBU21,25,37700,847,44.51
March,RTBU22,31,36700,769,47.72
March,RTBU23,40,32160,935,34.40
March,RTBU26,37,43040,872,49.36
March,RWBS33,34,39150,1084,36.12
March,RWBS34,25,36960,1157,31.94
March,RWBS35,48,52340,1610,32.51
March,RWBS40,34,34597,837,41.33
March,RWBS41,22,30274,1189,25.46
March,RWBS42,16,33790,1189,28.42
March,RWBS43,68,54320,1249,43.49
March,RWBU10,74,38878,905,42.96
March,RWBU11,46,42473,858,49.50
March,RWBU12,59,41980,873,48.09
March,RWBU13,65,39246,667,58.84
March,RWBU14,73,33678,890,37.84
March,RWBU16,57,45140,839,53.80
March,RWBU20,48,42060,1116,37.69
March,RWBU21,41,41320,1331,31.04
March,RWBU22,53,36640,1573,23.29
March,RWBU23,29,34880,1192,29.26
March,RWBU24,58,78380,1020,76.84
March,RWBU25,42,34360,969,35.46
March,RHBS33,20,33380,1151,29.00
March,RHBS34,25,36580,1432,25.54
March,RHBS35,37,71970,1523,47.26
March,RHBS40,24,20354,979,20.79
March,RHBS42,13,17340,1045,16.59
March,RHBS43,53,58020,1225,47.36
March,RHBU10,51,48036,776,61.90
March,RHBU11,28,31640,769,41.14
March,RHBU12,47,37860,841,45.02
March,RHBU13,57,46326,853,54.31
March,RHBU14,53,44260,752,58.86
March,RHBU16,52,37940,803,47.25
March,RHBU20,32,44680,774,57.73
March,RHBU21,50,45960,760,60.47
March,RHBU22,51,48440,1103,43.92
March,RHBU24,58,49620,1269,39.10
March,RHBU25,53,41040,1061,38.68
March,RHBU26,43,36600,1031,35.50
March,RFBS33,49,32680,1175,27.81
March,RFBS34,21,37910,1125,33.70
March,RFBS35,24,31390,995,31.55
March,RFBS40,17,15357,1507,10.19
March,RFBS41,18,34640,880,39.36
March,RFBS42,31,50980,961,53.05
March,RFBU10,41,39796,830,47.95
March,RFBU11,30,38586,1030,37.46
March,RFBU13,39,40180,923,43.53
March,RFBU14,45,42820,957,44.74
March,RFBU15,52,37400,1116,33.51
March,RFBU16,40,38500,916,42.03
March,RFBU20,47,37860,1459,25.95
March,RFBU21,43,37420,1058,35.37
March,RFBU22,36,43940,1144,38.41
March,RFBU23,45,43360,1091,39.74
March,RFBU24,60,47560,856,55.56
March,RFBU25,51,39980,914,43.74
March,RMAS33,34,37580,1101,34.13
March,RMAS34,36,39840,1178,33.82
March,RMAS35,24,55840,1207,46.26
March,RMAS40,31,35180,833,42.23
March,RMAS41,35,46820,1225,38.22
March,RMAS42,13,17820,966,18.45
March,RMAU10,40,47980,1112,43.15
March,RMAU11,79,65760,1188,55.35
